'Timestamp', 'MON1 CL DDM (?A)', 'MON1 CL RF (dB)', 'MON1 DS DDM (?A)', 'MON1 DS RF (dB)', 'MON1 NF DDM (?A)', 'MON1 NF RF (dB)', 'MON1 CLR DDM (?A)', 'MON1 CLR RF (dB)','TEMP1', 'TEMP2', 'TRYKK', 'SIKT'
2022 01 28 23 06 54,3.18,0.32,1.74,0.28,-6.36,0.22,4.92,0.32,00,-02,0985,9999
2022 01 28 23 11 55,2.89,0.32,1.74,0.28,-6.65,0.23,5.21,0.32,00,-02,0985,9999
2022 01 28 23 16 54,2.60,0.34,1.45,0.30,-6.36,0.22,4.34,0.33,00,-02,0985,9999
2022 01 28 23 21 55,3.18,0.34,1.45,0.30,-6.07,0.20,3.76,0.35,-00,-02,0984,8000
2022 01 28 23 26 55,2.60,0.34,1.45,0.31,-6.36,0.20,3.76,0.34,-00,-02,0984,8000
2022 01 28 23 31 56,2.89,0.33,1.45,0.29,-6.36,0.20,4.34,0.33,-00,-02,0984,8000
2022 01 28 23 36 56,2.60,0.34,1.45,0.31,-6.07,0.20,3.76,0.34,-00,-02,0984,8000
2022 01 28 23 41 56,2.89,0.33,1.45,0.30,-6.36,0.20,4.05,0.34,-00,-02,0984,8000
2022 01 28 23 46 56,2.60,0.34,1.45,0.31,-6.07,0.19,3.47,0.34,-00,-02,0984,8000
2022 01 28 23 51 57,3.18,0.31,1.74,0.28,-6.07,0.19,4.63,0.32,00,-02,0984,5000
2022 01 28 23 56 57,2.89,0.32,1.45,0.29,-6.07,0.18,3.76,0.34,00,-02,0984,5000
2022 01 29 00 01 58,3.18,0.31,1.74,0.28,-6.07,0.19,4.05,0.34,00,-02,0984,5000
2022 01 29 00 06 58,2.89,0.33,1.45,0.29,-6.07,0.19,4.05,0.33,00,-02,0984,5000
2022 01 29 00 11 59,3.47,0.31,1.74,0.27,-6.07,0.20,4.92,0.32,00,-02,0984,5000
2022 01 29 00 16 59,3.47,0.31,1.45,0.27,-5.78,0.20,4.63,0.32,00,-02,0984,5000
2022 01 29 00 22 00,2.89,0.32,1.74,0.28,-6.07,0.21,4.63,0.32,-00,-02,0983,2500
2022 01 29 00 27 00,2.89,0.32,1.74,0.28,-6.07,0.21,4.63,0.32,-00,-02,0983,2500
2022 01 29 00 32 01,2.89,0.31,1.74,0.28,-6.07,0.22,4.92,0.31,-00,-02,0983,2500
2022 01 29 00 37 01,2.89,0.31,1.74,0.28,-6.36,0.23,4.92,0.31,-00,-02,0983,2500
2022 01 29 00 42 02,2.89,0.31,1.45,0.28,-6.36,0.25,5.21,0.31,-00,-02,0983,2500
2022 01 29 00 47 03,2.89,0.31,1.74,0.27,-6.36,0.25,5.78,0.30,-00,-02,0983,2500
2022 01 29 00 52 03,2.89,0.31,1.74,0.27,-6.36,0.25,5.78,0.29,-00,-01,0983,3000
2022 01 29 00 57 03,3.18,0.31,1.74,0.26,-6.07,0.24,5.78,0.29,-00,-01,0983,3000
2022 01 29 01 02 04,2.89,0.30,1.74,0.26,-6.07,0.23,6.07,0.29,-00,-01,0983,3000
