Timestamp,MON1 CL DDM (ｵA),MON1 CL RF (dB),MON1 DS DDM (ｵA),MON1 DS RF (dB),MON1 NF DDM (ｵA),MON1 NF RF (dB),MON1 CLR DDM (ｵA),MON1 CLR RF (dB)
2022-02-09 16:52:39,2.60,0.34,1.16,0.31,-2.60,0.19,4.05,0.32
2022-02-09 16:57:40,2.60,0.34,0.87,0.31,-2.60,0.19,4.05,0.32
2022-02-09 17:02:40,2.60,0.34,1.16,0.31,-2.60,0.18,4.34,0.32
2022-02-09 17:07:40,2.31,0.34,1.16,0.31,-2.60,0.19,4.05,0.32
2022-02-09 17:12:41,2.60,0.34,1.16,0.31,-2.31,0.20,4.05,0.32
2022-02-09 17:17:41,2.60,0.34,1.45,0.31,-2.31,0.19,4.05,0.32
2022-02-09 17:22:42,2.60,0.34,1.16,0.31,-2.31,0.17,3.76,0.32
2022-02-09 17:27:42,2.60,0.34,1.16,0.31,-2.60,0.20,4.05,0.32
2022-02-09 17:32:42,2.31,0.34,1.16,0.31,-2.60,0.20,4.05,0.32
2022-02-09 17:37:42,2.60,0.33,1.16,0.30,-2.60,0.19,4.05,0.32
2022-02-09 17:42:42,2.60,0.34,1.16,0.31,-2.60,0.19,4.34,0.32
2022-02-09 17:47:42,2.31,0.34,1.45,0.30,-2.31,0.18,4.05,0.32
2022-02-09 17:52:43,2.31,0.33,1.45,0.30,-2.31,0.19,4.34,0.32
2022-02-09 17:57:43,2.60,0.33,1.16,0.30,-2.31,0.19,4.34,0.32
2022-02-09 18:02:44,2.60,0.33,1.16,0.30,-2.31,0.20,4.05,0.32
2022-02-09 18:07:43,2.89,0.32,1.16,0.29,-2.02,0.19,4.34,0.32
2022-02-09 18:12:44,2.60,0.32,1.45,0.29,-2.02,0.19,4.63,0.31
2022-02-09 18:17:44,2.89,0.32,1.16,0.29,-2.02,0.19,4.34,0.31
2022-02-09 18:22:44,2.89,0.32,1.16,0.29,-2.02,0.19,4.34,0.31
2022-02-09 18:27:44,2.60,0.32,1.45,0.29,-1.74,0.18,4.63,0.31
2022-02-09 18:32:44,2.89,0.32,1.45,0.29,-1.74,0.17,4.63,0.31
2022-02-09 18:37:45,2.89,0.32,1.45,0.29,-1.74,0.17,4.34,0.31
2022-02-09 18:42:45,2.89,0.32,1.45,0.28,-1.74,0.17,4.63,0.31
2022-02-09 18:47:46,2.89,0.32,1.45,0.28,-1.45,0.18,4.63,0.31
2022-02-09 18:52:46,2.60,0.32,1.45,0.28,-1.74,0.18,4.63,0.31
2022-02-09 18:57:47,2.89,0.32,1.16,0.28,-1.45,0.17,4.63,0.31
