15,Timestamp,MON1 CL DDM (ｵA),Status,MON1 CL SDM (%),Status,MON1 CL RF (dB),Status,MON1 DS DDM (ｵA),Status,MON1 DS SDM (%),Status,MON1 DS RF (dB),Status,MON1 NF DDM (ｵA),Status,MON1 NF SDM (%),Status,MON1 NF RF (dB),Status,MON1 CLR DDM (ｵA),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (dB),Status,MON1 DIFF FREQ (kHz),Status,MON1 TEST DDM (ｵA),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (dB),Status,MON1 SELF TEST (),Status,MON2 CL DDM (ｵA),Status,MON2 CL SDM (%),Status,MON2 CL RF (dB),Status,MON2 DS DDM (ｵA),Status,MON2 DS SDM (%),Status,MON2 DS RF (dB),Status,MON2 NF DDM (ｵA),Status,MON2 NF SDM (%),Status,MON2 NF RF (dB),Status,MON2 CLR DDM (ｵA),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (dB),Status,MON2 DIFF FREQ (kHz),Status,MON2 TEST DDM (ｵA),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (dB),Status,MON2 SELF TEST (),Status
216,"2022-01-29 06:52:28,8"," 2,60", ,"79,97", ," 0,26", ," 1,16", ,"80,01", ," 0,23", ,"-2,31", ,"79,97", ," 0,14", ," 4,05", ,"80,14", ," 0,26", ,"14,76", ,"-6,07", ,"76,26", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,29", ," 1,16", ,"80,01", ," 0,27", ,"-2,02", ,"79,97", ," 0,16", ," 2,60", ,"80,14", ," 0,29", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
217,"2022-01-29 06:57:29,7"," 2,60", ,"79,97", ," 0,26", ," 1,16", ,"79,97", ," 0,23", ,"-2,02", ,"79,97", ," 0,14", ," 4,05", ,"80,14", ," 0,26", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,31", ,"80,01", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-2,02", ,"79,97", ," 0,15", ," 2,60", ,"80,11", ," 0,29", ,"14,74", ,"-4,63", ,"79,03", ,"-0,51", ," 0,00", 
218,"2022-01-29 07:02:30,4"," 2,31", ,"79,94", ," 0,26", ," 1,16", ,"80,01", ," 0,23", ,"-2,02", ,"79,97", ," 0,14", ," 4,05", ,"80,14", ," 0,26", ,"14,76", ,"-9,83", ,"74,94", ," 0,01", ," 0,00", ," 2,60", ,"80,01", ," 0,29", ," 1,16", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,15", ," 2,60", ,"80,11", ," 0,29", ,"14,76", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
219,"2022-01-29 07:07:30,5"," 2,31", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,23", ,"-2,02", ,"79,97", ," 0,14", ," 4,05", ,"80,14", ," 0,25", ,"14,76", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"80,01", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,15", ," 2,60", ,"80,11", ," 0,29", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
220,"2022-01-29 07:12:31,1"," 2,31", ,"79,97", ," 0,26", ," 1,45", ,"79,97", ," 0,23", ,"-1,74", ,"79,97", ," 0,14", ," 4,34", ,"80,14", ," 0,25", ,"14,72", ,"-35,58",a,"62,39",a,"-0,40", ," 0,00", ," 2,31", ,"80,01", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,15", ," 2,60", ,"80,14", ," 0,29", ,"14,74", ," 0,29", ,"79,84", ," 0,02", ," 0,00", 
221,"2022-01-29 07:17:32,0"," 2,31", ,"79,97", ," 0,26", ," 1,16", ,"80,01", ," 0,23", ,"-1,74", ,"79,97", ," 0,13", ," 4,34", ,"80,17", ," 0,25", ,"14,76", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"80,01", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,15", ," 2,60", ,"80,14", ," 0,29", ,"14,76", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
222,"2022-01-29 07:22:32,2"," 2,60", ,"79,97", ," 0,26", ," 1,45", ,"79,97", ," 0,23", ,"-1,74", ,"79,97", ," 0,13", ," 4,05", ,"80,14", ," 0,26", ,"14,72", ," 0,00", ,"79,80", ," 0,02", ," 0,00", ," 2,60", ,"80,01", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,14", ," 2,60", ,"80,14", ," 0,29", ,"14,76", ,"-5,78", ,"73,36", ,"-2,15", ," 0,00", 
223,"2022-01-29 07:27:32,8"," 2,60", ,"79,97", ," 0,25", ," 1,16", ,"80,01", ," 0,22", ,"-1,74", ,"79,97", ," 0,14", ," 4,34", ,"80,17", ," 0,25", ,"14,76", ,"-0,58", ,"79,84", ," 0,02", ," 0,00", ," 2,60", ,"80,01", ," 0,28", ," 1,45", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,15", ," 2,60", ,"80,11", ," 0,29", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
224,"2022-01-29 07:32:33,5"," 2,60", ,"79,94", ," 0,25", ," 1,16", ,"80,01", ," 0,23", ,"-2,02", ,"79,94", ," 0,13", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-53,22",a,"55,61",a,"-2,97",a," 0,00", ," 2,60", ,"79,97", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,14", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ,"-1,74", ,"78,66", ," 0,01", ," 0,00", 
225,"2022-01-29 07:37:33,8"," 2,60", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-1,74", ,"79,94", ," 0,13", ," 4,05", ,"80,17", ," 0,25", ,"14,74", ," 1,16", ,"79,74", ,"-0,28", ," 0,00", ," 2,60", ,"79,97", ," 0,29", ," 1,45", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,14", ," 2,60", ,"80,14", ," 0,29", ,"14,74", ,"-61,32",a,"54,77",a,"-5,03",a," 0,00", 
226,"2022-01-29 07:42:34,5"," 2,60", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-1,74", ,"79,97", ," 0,13", ," 4,34", ,"80,17", ," 0,25", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 2,60", ,"80,01", ," 0,28", ," 1,45", ,"80,01", ," 0,26", ,"-1,74", ,"79,97", ," 0,14", ," 2,89", ,"80,14", ," 0,29", ,"14,74", ," 0,00", ,"79,87", ," 0,02", ," 0,00", 
227,"2022-01-29 07:47:34,5"," 2,60", ,"79,97", ," 0,25", ," 1,16", ,"80,01", ," 0,22", ,"-1,45", ,"79,94", ," 0,13", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,45", ,"80,01", ," 0,26", ,"-1,45", ,"79,97", ," 0,14", ," 2,60", ,"80,14", ," 0,29", ,"14,74", ,"-32,97",a,"63,03",a,"-4,27",a," 0,00", 
228,"2022-01-29 07:52:34,6"," 2,60", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-1,45", ,"79,94", ," 0,13", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-21,69",a,"74,03", ,"-2,16", ," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,45", ,"79,97", ," 0,26", ,"-1,45", ,"79,97", ," 0,14", ," 2,60", ,"80,11", ," 0,29", ,"14,74", ,"-61,61",a,"53,82",a,"-5,03",a," 0,00", 
229,"2022-01-29 07:57:34,7"," 2,60", ,"79,97", ," 0,25", ," 1,16", ,"80,01", ," 0,22", ,"-1,16", ,"79,97", ," 0,12", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-58,71",a,"55,78",a,"-5,03",a," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-1,16", ,"79,97", ," 0,14", ," 2,60", ,"80,14", ," 0,28", ,"14,74", ,"-61,32",a,"53,79",a,"-5,03",a," 0,00", 
230,"2022-01-29 08:02:35,1"," 2,60", ,"79,97", ," 0,25", ," 1,16", ,"80,01", ," 0,22", ,"-1,45", ,"79,97", ," 0,12", ," 4,05", ,"80,14", ," 0,25", ,"14,74", ,"-7,23", ,"71,50", ," 0,02", ," 0,00", ," 2,60", ,"80,01", ," 0,28", ," 1,45", ,"80,01", ," 0,26", ,"-1,16", ,"79,97", ," 0,14", ," 2,60", ,"80,14", ," 0,29", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", 
231,"2022-01-29 08:07:35,5"," 2,60", ,"79,97", ," 0,25", ," 1,45", ,"79,97", ," 0,22", ,"-1,16", ,"79,97", ," 0,12", ," 4,34", ,"80,17", ," 0,25", ,"14,72", ,"-38,18",a,"63,07",a,"-4,69",a," 0,00", ," 2,60", ,"79,94", ," 0,28", ," 1,45", ,"80,01", ," 0,25", ,"-1,16", ,"79,97", ," 0,13", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
232,"2022-01-29 08:12:35,3"," 2,60", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-1,16", ,"79,94", ," 0,11", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,45", ,"79,97", ," 0,25", ,"-1,16", ,"79,97", ," 0,13", ," 2,60", ,"80,14", ," 0,28", ,"14,76", ,"-9,26", ,"75,59", ,"-1,57", ," 0,00", 
233,"2022-01-29 08:17:35,9"," 2,60", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-1,16", ,"79,97", ," 0,11", ," 4,34", ,"80,17", ," 0,25", ,"14,76", ,"-0,58", ,"78,72", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,28", ," 1,16", ,"80,01", ," 0,25", ,"-0,87", ,"79,97", ," 0,13", ," 2,89", ,"80,14", ," 0,28", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
234,"2022-01-29 08:22:36,3"," 2,60", ,"79,94", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-0,87", ,"79,97", ," 0,11", ," 4,34", ,"80,17", ," 0,25", ,"14,72", ,"-58,42",a,"55,91",a,"-5,03",a," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-0,87", ,"79,97", ," 0,13", ," 2,89", ,"80,14", ," 0,28", ,"14,72", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
235,"2022-01-29 08:27:37,0"," 2,60", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-0,87", ,"79,97", ," 0,11", ," 4,63", ,"80,14", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-0,87", ,"79,97", ," 0,13", ," 2,60", ,"80,14", ," 0,28", ,"14,74", ,"-52,64",a,"56,32",a,"-5,03",a," 0,00", 
236,"2022-01-29 08:32:37,3"," 2,60", ,"79,94", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-0,87", ,"79,97", ," 0,11", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,45", ,"80,01", ," 0,25", ,"-0,87", ,"79,97", ," 0,13", ," 2,89", ,"80,14", ," 0,28", ,"14,72", ,"-15,62", ,"66,47", ," 0,01", ," 0,00", 
237,"2022-01-29 08:37:37,1"," 2,60", ,"79,94", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ,"-0,87", ,"79,94", ," 0,11", ," 4,34", ,"80,17", ," 0,24", ,"14,76", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,60", ,"79,94", ," 0,27", ," 1,74", ,"80,01", ," 0,25", ,"-0,58", ,"79,97", ," 0,13", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-61,61",a,"53,82",a,"-5,03",a," 0,00", 
238,"2022-01-29 08:42:37,0"," 2,60", ,"79,97", ," 0,24", ," 1,16", ,"79,97", ," 0,21", ,"-0,58", ,"79,97", ," 0,10", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-0,58", ,"79,97", ," 0,12", ," 2,60", ,"80,14", ," 0,28", ,"14,74", ,"-54,95",a,"56,89",a,"-5,03",a," 0,00", 
239,"2022-01-29 08:47:37,1"," 2,60", ,"79,97", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ,"-0,58", ,"79,97", ," 0,10", ," 4,34", ,"80,17", ," 0,24", ,"14,72", ,"-39,91",a,"64,18",a,"-4,27",a," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,45", ,"80,01", ," 0,25", ,"-0,58", ,"79,97", ," 0,12", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-61,32",a,"53,79",a,"-5,03",a," 0,00", 
240,"2022-01-29 08:52:37,1"," 2,60", ,"79,94", ," 0,24", ," 1,16", ,"80,01", ," 0,21", ,"-0,58", ,"79,97", ," 0,10", ," 4,34", ,"80,17", ," 0,24", ,"14,74", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,60", ,"79,97", ," 0,27", ," 1,45", ,"80,01", ," 0,25", ,"-0,29", ,"79,97", ," 0,11", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-61,61",a,"53,79",a,"-5,03",a," 0,00", 
241,"2022-01-29 08:57:37,8"," 2,60", ,"79,94", ," 0,24", ," 1,45", ,"79,97", ," 0,21", ,"-0,58", ,"79,97", ," 0,10", ," 4,34", ,"80,17", ," 0,24", ,"14,74", ,"-9,26", ,"75,38", ,"-1,57", ," 0,00", ," 2,60", ,"79,97", ," 0,27", ," 1,45", ,"80,01", ," 0,25", ,"-0,58", ,"79,97", ," 0,11", ," 2,60", ,"80,14", ," 0,28", ,"14,74", ,"-57,27",a,"53,75",a,"-5,03",a," 0,00", 
242,"2022-01-29 09:02:38,4"," 2,89", ,"79,97", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ,"-0,29", ,"79,94", ," 0,08", ," 4,34", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,27", ," 1,45", ,"80,01", ," 0,25", ,"-0,29", ,"79,94", ," 0,10", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-5,21", ,"76,83", ,"-1,02", ," 0,00", 
243,"2022-01-29 09:07:38,5"," 2,60", ,"79,97", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ,"-0,58", ,"79,97", ," 0,10", ," 4,34", ,"80,17", ," 0,24", ,"14,72", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,27", ," 1,74", ,"80,01", ," 0,24", ,"-0,29", ,"79,97", ," 0,11", ," 2,60", ,"80,14", ," 0,28", ,"14,74", ,"-41,07",a,"57,33",a,"-5,03",a," 0,00", 
244,"2022-01-29 09:12:39,2"," 2,60", ,"79,97", ," 0,24", ," 1,45", ,"79,97", ," 0,21", ,"-0,29", ,"79,97", ," 0,09", ," 4,34", ,"80,14", ," 0,24", ,"14,74", ," 0,00", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,27", ," 1,74", ,"80,01", ," 0,25", ,"-0,29", ,"79,97", ," 0,10", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
245,"2022-01-29 09:17:39,9"," 2,60", ,"79,97", ," 0,25", ," 1,16", ,"80,01", ," 0,22", ,"-0,58", ,"80,01", ," 0,10", ," 4,05", ,"80,14", ," 0,25", ,"14,76", ,"-16,49", ,"66,27", ," 0,01", ," 0,00", ," 2,60", ,"80,01", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-0,29", ,"80,01", ," 0,11", ," 2,60", ,"80,14", ," 0,28", ,"14,74", ," 0,00", ,"79,87", ," 0,01", ," 0,00", 
246,"2022-01-29 09:22:40,5"," 2,60", ,"79,94", ," 0,23", ," 1,45", ,"80,01", ," 0,20", ,"-0,29", ,"79,97", ," 0,09", ," 4,34", ,"80,14", ," 0,23", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,60", ,"79,97", ," 0,27", ," 1,74", ,"79,97", ," 0,24", ,"-0,29", ,"79,97", ," 0,11", ," 2,89", ,"80,14", ," 0,27", ,"14,72", ,"-40,78",a,"63,27",a,"-0,40", ," 0,00", 
247,"2022-01-29 09:27:40,8"," 2,60", ,"79,97", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ,"-0,29", ,"79,97", ," 0,07", ," 4,63", ,"80,17", ," 0,24", ,"14,74", ,"-0,29", ,"79,80", ," 0,01", ," 0,00", ," 2,60", ,"79,97", ," 0,27", ," 1,74", ,"80,01", ," 0,24", ,"-0,29", ,"79,97", ," 0,09", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ,"-30,66",a,"71,50", ,"-2,80", ," 0,00", 
248,"2022-01-29 09:32:41,2"," 2,60", ,"79,94", ," 0,23", ," 1,45", ,"80,01", ," 0,20", ," 0,00", ,"79,97", ," 0,10", ," 4,34", ,"80,14", ," 0,23", ,"14,74", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,24", ," 0,00", ,"79,97", ," 0,11", ," 2,89", ,"80,14", ," 0,27", ,"14,74", ,"-61,61",a,"54,83",a,"-2,63", ," 0,00", 
249,"2022-01-29 09:37:41,3"," 2,60", ,"79,94", ," 0,23", ," 1,45", ,"80,01", ," 0,20", ," 0,00", ,"79,97", ," 0,09", ," 4,34", ,"80,14", ," 0,23", ,"14,74", ,"-60,45",a,"54,83",a,"-4,92",a," 0,00", ," 2,89", ,"79,97", ," 0,26", ," 1,45", ,"80,01", ," 0,24", ," 0,00", ,"79,97", ," 0,10", ," 2,89", ,"80,14", ," 0,27", ,"14,76", ,"-3,47", ,"72,62", ," 0,02", ," 0,00", 
250,"2022-01-29 09:42:42,0"," 2,60", ,"79,97", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ,"-0,29", ,"79,94", ," 0,08", ," 4,34", ,"80,17", ," 0,24", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,60", ,"79,97", ," 0,27", ," 1,74", ,"80,01", ," 0,25", ," 0,00", ,"79,97", ," 0,10", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-61,61",a,"53,82",a,"-5,03",a," 0,00", 
251,"2022-01-29 09:47:42,0"," 2,60", ,"79,94", ," 0,23", ," 1,45", ,"80,01", ," 0,20", ," 0,00", ,"79,97", ," 0,08", ," 4,34", ,"80,14", ," 0,23", ,"14,74", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,89", ,"79,94", ," 0,26", ," 1,45", ,"80,01", ," 0,24", ," 0,29", ,"79,97", ," 0,10", ," 2,89", ,"80,14", ," 0,27", ,"14,72", ,"-29,21",a,"60,57",a,"-0,64", ," 0,00", 
252,"2022-01-29 09:52:42,5"," 2,60", ,"79,97", ," 0,23", ," 1,45", ,"80,01", ," 0,20", ," 0,00", ,"79,94", ," 0,07", ," 4,34", ,"80,14", ," 0,23", ,"14,76", ," 0,00", ,"79,84", ," 0,02", ," 0,00", ," 2,60", ,"80,01", ," 0,26", ," 1,45", ,"80,01", ," 0,24", ," 0,29", ,"79,97", ," 0,09", ," 2,89", ,"80,14", ," 0,27", ,"14,74", ,"-13,02", ,"71,97", ,"-2,48", ," 0,00", 
253,"2022-01-29 09:57:42,8"," 2,60", ,"79,94", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ," 0,00", ,"79,94", ," 0,07", ," 4,63", ,"80,17", ," 0,24", ,"14,74", ,"-60,45",a,"54,83",a,"-5,02",a," 0,00", ," 2,60", ,"79,97", ," 0,28", ," 1,45", ,"80,01", ," 0,25", ," 0,00", ,"79,94", ," 0,08", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ,"-54,66",a,"54,66",a,"-2,97",a," 0,00", 
254,"2022-01-29 10:02:42,9"," 2,60", ,"79,94", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ," 0,29", ,"79,94", ," 0,08", ," 4,63", ,"80,17", ," 0,25", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,45", ,"80,01", ," 0,25", ," 0,29", ,"79,97", ," 0,10", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-17,64", ,"72,41", ," 0,02", ," 0,00", 
255,"2022-01-29 10:07:43,0"," 2,89", ,"79,97", ," 0,24", ," 1,45", ,"80,01", ," 0,21", ," 0,29", ,"79,97", ," 0,10", ," 4,34", ,"80,17", ," 0,24", ,"14,72", ,"-44,25",a,"63,64",a,"-0,40", ," 0,00", ," 2,60", ,"80,01", ," 0,27", ," 1,45", ,"80,01", ," 0,24", ," 0,29", ,"79,97", ," 0,11", ," 2,89", ,"80,14", ," 0,28", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
256,"2022-01-29 10:12:43,3"," 2,60", ,"79,97", ," 0,25", ," 1,74", ,"80,04", ," 0,22", ," 0,00", ,"79,90", ," 0,07", ," 4,63", ,"80,21", ," 0,25", ,"14,74", ,"-35,00",a,"70,02", ,"-2,79", ," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,74", ,"80,04", ," 0,25", ," 0,00", ,"79,94", ," 0,09", ," 3,18", ,"80,17", ," 0,28", ,"14,76", ,"-61,61",a,"53,82",a,"-5,03",a," 0,00", 
257,"2022-01-29 10:17:43,7"," 2,89", ,"79,94", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ,"-0,29", ,"79,94", ," 0,08", ," 4,63", ,"80,17", ," 0,25", ,"14,74", ,"-58,42",a,"55,81",a,"-2,63", ," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ,"-0,29", ,"79,94", ," 0,10", ," 3,18", ,"80,14", ," 0,28", ,"14,74", ," 1,45", ,"79,20", ," 0,01", ," 0,00", 
258,"2022-01-29 10:22:44,3"," 2,89", ,"79,94", ," 0,24", ," 1,74", ,"80,01", ," 0,21", ," 0,00", ,"79,97", ," 0,08", ," 4,63", ,"80,17", ," 0,25", ,"14,74", ,"-60,45",a,"54,83",a,"-5,03",a," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ," 0,00", ,"79,97", ," 0,10", ," 2,89", ,"80,14", ," 0,28", ,"14,74", ,"-64,21",a,"54,06",a,"-3,32",a," 0,00", 
259,"2022-01-29 10:27:44,7"," 2,89", ,"80,01", ," 0,25", ," 1,74", ,"80,01", ," 0,21", ," 0,00", ,"79,94", ," 0,09", ," 4,63", ,"80,17", ," 0,25", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ," 0,29", ,"79,94", ," 0,11", ," 3,18", ,"80,17", ," 0,29", ,"14,76", ," 0,00", ,"79,87", ,"-0,05", ," 0,00", 
260,"2022-01-29 10:32:45,4"," 2,60", ,"79,97", ," 0,25", ," 1,45", ,"80,01", ," 0,22", ," 0,58", ,"79,94", ," 0,08", ," 4,63", ,"80,17", ," 0,26", ,"14,74", ,"-15,04", ,"72,28", ," 0,01", ," 0,00", ," 2,89", ,"79,97", ," 0,28", ," 1,74", ,"80,01", ," 0,25", ," 0,58", ,"79,97", ," 0,10", ," 2,89", ,"80,14", ," 0,29", ,"14,76", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
261,"2022-01-29 10:37:46,0"," 2,60", ,"79,94", ," 0,27", ," 1,16", ,"79,97", ," 0,24", ," 0,29", ,"79,94", ," 0,07", ," 4,05", ,"80,14", ," 0,26", ,"14,72", ,"-60,45",a,"54,80",a,"-5,03",a," 0,00", ," 2,60", ,"79,97", ," 0,31", ," 1,45", ,"79,97", ," 0,28", ," 0,58", ,"79,97", ," 0,09", ," 2,31", ,"80,11", ," 0,30", ,"14,76", ,"-20,82", ,"70,66", ," 0,01", ," 0,00", 
262,"2022-01-29 10:42:46,1"," 2,60", ,"79,94", ," 0,28", ," 1,16", ,"79,97", ," 0,25", ," 0,00", ,"79,94", ," 0,08", ," 4,05", ,"80,14", ," 0,28", ,"14,74", ,"-45,99",a,"61,51",a,"-0,90", ," 0,00", ," 2,60", ,"79,97", ," 0,32", ," 1,74", ,"80,01", ," 0,29", ," 0,00", ,"79,97", ," 0,10", ," 2,31", ,"80,11", ," 0,31", ,"14,74", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
263,"2022-01-29 10:47:46,2"," 2,89", ,"79,97", ," 0,28", ," 1,45", ,"80,01", ," 0,25", ," 0,29", ,"79,94", ," 0,07", ," 4,92", ,"80,17", ," 0,26", ,"14,72", ,"-3,76", ,"78,89", ," 0,01", ," 0,00", ," 2,89", ,"80,01", ," 0,31", ," 1,74", ,"80,01", ," 0,28", ," 0,29", ,"79,97", ," 0,08", ," 3,18", ,"80,17", ," 0,30", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
264,"2022-01-29 10:52:46,9"," 2,60", ,"79,94", ," 0,30", ," 1,16", ,"80,04", ," 0,27", ,"-0,87", ,"79,94", ," 0,07", ," 3,76", ,"80,11", ," 0,29", ,"14,74", ,"-64,79",a,"55,61",a,"-3,32",a," 0,00", ," 2,89", ,"79,97", ," 0,33", ," 1,45", ,"80,04", ," 0,30", ,"-0,87", ,"79,94", ," 0,09", ," 2,02", ,"80,07", ," 0,33", ,"14,76", ,"-5,50", ,"78,05", ," 0,02", ," 0,00", 
265,"2022-01-29 10:57:47,0"," 2,31", ,"79,97", ," 0,31", ," 0,87", ,"80,01", ," 0,29", ,"-1,16", ,"79,94", ," 0,09", ," 2,60", ,"80,04", ," 0,29", ,"14,72", ,"-19,38", ,"71,03", ," 0,01", ," 0,00", ," 2,60", ,"80,01", ," 0,35", ," 1,16", ,"80,01", ," 0,32", ,"-0,87", ,"79,97", ," 0,11", ," 1,16", ,"80,04", ," 0,33", ,"14,76", ," 0,00", ,"79,87", ," 0,01", ," 0,00", 
266,"2022-01-29 11:02:47,0"," 2,89", ,"79,97", ," 0,30", ," 1,16", ,"80,01", ," 0,26", ,"-1,16", ,"79,94", ," 0,05", ," 4,34", ,"80,17", ," 0,28", ,"14,74", ," 0,00", ,"79,84", ," 0,02", ," 0,00", ," 2,89", ,"80,01", ," 0,33", ," 1,74", ,"80,01", ," 0,30", ,"-0,87", ,"79,97", ," 0,07", ," 2,89", ,"80,14", ," 0,32", ,"14,72", ," 0,00", ,"79,84", ," 0,01", ," 0,00", 
