Timestamp,MON1 CL DDM (?A),Status,MON1 CL SDM (%),Status,MON1 CL RF (V),Status,MON1 DS DDM (?A),Status,MON1 DS SDM (%),Status,MON1 DS RF (V),Status,MON1 NF DDM (?A),Status,MON1 NF SDM (%),Status,MON1 NF RF (V),Status,MON1 CLR DDM (?A),Status,MON1 CLR SDM (%),Status,MON1 CLR RF (V),Status,MON1 DIFF FREQ (kHz),Status,MON1 CL ID MOD (%),Status,MON1 CL ID ACT (),Status,MON1 CLR ID MOD (%),Status,MON1 CLR ID ACT (),Status,MON1 VOICE (),Status,MON1 DL 0 (?),Status,MON1 DL 1 (?),Status,MON1 DL 2 (),Status,MON1 DL 3 (),Status,MON1 FFM Ch.A DDM (?A),Status,MON1 FFM Ch.A SDM (%),Status,MON1 FFM Ch.A RF (dBm),Status,MON1 FFM Ch.B DDM (?A),Status,MON1 FFM Ch.B SDM (%),Status,MON1 FFM Ch.B RF (dBm),Status,MON1 Execute alarm (),Status,MON1 TEST DDM (?A),Status,MON1 TEST SDM (%),Status,MON1 TEST RF (V),Status,MON1 SELF TEST (),Status,MON2 CL DDM (?A),Status,MON2 CL SDM (%),Status,MON2 CL RF (V),Status,MON2 DS DDM (?A),Status,MON2 DS SDM (%),Status,MON2 DS RF (V),Status,MON2 NF DDM (?A),Status,MON2 NF SDM (%),Status,MON2 NF RF (V),Status,MON2 CLR DDM (?A),Status,MON2 CLR SDM (%),Status,MON2 CLR RF (V),Status,MON2 DIFF FREQ (kHz),Status,MON2 CL ID MOD (%),Status,MON2 CL ID ACT (),Status,MON2 CLR ID MOD (%),Status,MON2 CLR ID ACT (),Status,MON2 VOICE (),Status,MON2 DL 0 (?),Status,MON2 DL 1 (?),Status,MON2 DL 2 (),Status,MON2 DL 3 (),Status,MON2 FFM Ch.A DDM (?A),Status,MON2 FFM Ch.A SDM (%),Status,MON2 FFM Ch.A RF (dBm),Status,MON2 FFM Ch.B DDM (?A),Status,MON2 FFM Ch.B SDM (%),Status,MON2 FFM Ch.B RF (dBm),Status,MON2 Execute alarm (),Status,MON2 TEST DDM (?A),Status,MON2 TEST SDM (%),Status,MON2 TEST RF (V),Status,MON2 SELF TEST (),Status
"2022-02-17 07:21:15,8","-0,87", ,"79,97", ," 2,91", ," 0,58", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,80", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,08", ,"-4,34", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-37,31",a,"60,03",a," 2,73", ," 0,00", 
"2022-02-17 07:26:16,1","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,74", ," 3,05", ," 0,00", ,"79,77", ," 3,08", ,"-4,34", ,"79,80", ," 3,23", ,"-1,74", ,"79,84", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-21,69",a,"73,66", ," 2,30", ," 0,00", 
"2022-02-17 07:31:16,2","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-1,16", ,"80,07", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-40,49",a,"58,11",a," 2,54", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,08", ,"-4,34", ,"79,80", ," 3,23", ,"-1,74", ,"79,87", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-53,51",a,"54,87",a," 1,55",a," 0,00", 
"2022-02-17 07:36:16,3","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-0,58", ,"77,58", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,74", ," 3,08", ,"-4,34", ,"79,80", ," 3,23", ,"-1,74", ,"79,87", ," 3,03", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-17 07:41:16,7","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-65,94",a,"55,95",a," 1,55",a," 0,00", ,"-0,58", ,"79,74", ," 3,04", ," 0,00", ,"79,74", ," 3,07", ,"-4,34", ,"79,80", ," 3,23", ,"-1,74", ,"79,84", ," 3,03", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-17 07:46:17,1","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,07", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-24,30",a,"68,70", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,34", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,03", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-17 07:51:17,7","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,07", ," 3,00", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,04", ,"-0,29", ,"79,74", ," 3,07", ,"-4,34", ,"79,80", ," 3,23", ,"-1,74", ,"79,87", ," 3,03", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-18,51", ,"74,03", ," 2,39", ," 0,00", 
"2022-02-17 07:56:18,1","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,08", ,"-4,34", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,03", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,45",a,"54,12",a," 1,86",a," 0,00", 
"2022-02-17 08:01:18,2","-0,87", ,"79,97", ," 2,91", ," 0,58", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-1,16", ,"80,07", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-6,94", ,"77,31", ," 2,58", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,34", ,"79,80", ," 3,23", ,"-1,74", ,"79,87", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-33,55",a,"69,61", ," 3,09", ," 0,00", 
"2022-02-17 08:06:18,3","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-57,27",a,"56,42",a," 1,55",a," 0,00", ,"-0,58", ,"79,74", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,34", ,"79,80", ," 3,23", ,"-2,02", ,"79,80", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-17 08:11:18,4","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,34", ,"79,84", ," 3,12", ,"-0,87", ,"80,07", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,34", ,"79,80", ," 3,23", ,"-2,02", ,"79,80", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-17 08:16:18,5","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,74", ," 3,07", ,"-4,63", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-17 08:21:18,8","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,07", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,29", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,74", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,63", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-17 08:26:19,2","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,07", ," 3,00", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-55,53",a,"54,16",a," 1,55",a," 0,00", ,"-0,58", ,"79,74", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,63", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-17 08:31:19,8","-0,87", ,"80,01", ," 2,91", ," 0,29", ,"79,90", ," 2,98", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 1,74", ,"77,71", ," 2,68", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,63", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-17 08:36:20,2","-0,87", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,99", ,"-4,63", ,"79,84", ," 3,12", ,"-1,16", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,57",a," 0,00", ,"-0,87", ,"79,77", ," 3,04", ," 0,00", ,"79,74", ," 3,07", ,"-4,63", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,89",a," 1,55",a," 0,00", 
"2022-02-17 08:41:20,9","-0,87", ,"79,94", ," 2,91", ," 0,29", ,"79,90", ," 2,98", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,74", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,63", ,"79,80", ," 3,23", ,"-1,74", ,"79,87", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-10,41", ,"76,60", ," 2,59", ," 0,00", 
"2022-02-17 08:46:21,0","-0,58", ,"79,97", ," 2,91", ," 0,29", ,"79,90", ," 2,98", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,45",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,63", ,"79,80", ," 3,23", ,"-1,74", ,"79,84", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-55,24",a,"56,55",a," 1,55",a," 0,00", 
"2022-02-17 08:51:21,3","-0,87", ,"80,01", ," 2,91", ," 0,58", ,"79,90", ," 2,98", ,"-4,92", ,"79,84", ," 3,12", ,"-0,87", ,"80,07", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ,"-0,29", ,"79,77", ," 3,07", ,"-4,92", ,"79,80", ," 3,23", ,"-1,74", ,"79,84", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-36,44",a,"67,05", ," 3,09", ," 0,00", 
"2022-02-17 08:56:22,0","-0,87", ,"80,01", ," 2,90", ," 0,29", ,"79,90", ," 2,98", ,"-3,76", ,"79,84", ," 3,09", ,"-0,87", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,10", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,87", ,"79,77", ," 3,04", ," 0,29", ,"79,77", ," 3,07", ,"-3,76", ,"79,80", ," 3,20", ,"-1,74", ,"79,84", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-59,87",a,"53,96",a," 1,55",a," 0,00", 
"2022-02-17 09:01:22,1","-0,87", ,"79,97", ," 2,90", ," 0,29", ,"79,90", ," 2,98", ,"-4,92", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,92", ,"79,80", ," 3,23", ,"-2,02", ,"79,84", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"56,45",a," 2,34", ," 0,00", 
"2022-02-17 09:06:22,5","-0,58", ,"79,97", ," 2,90", ," 0,29", ,"79,90", ," 2,98", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,04", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,74", ," 3,06", ,"-4,92", ,"79,80", ," 3,23", ,"-1,74", ,"79,84", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-10,41", ,"77,48", ," 2,68", ," 0,00", 
"2022-02-17 09:11:23,1","-0,87", ,"79,97", ," 2,90", ," 0,29", ,"79,90", ," 2,98", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,07", ," 3,00", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-49,46",a,"59,83",a," 1,55",a," 0,00", ,"-0,58", ,"79,74", ," 3,04", ," 0,00", ,"79,77", ," 3,06", ,"-4,92", ,"79,77", ," 3,23", ,"-1,74", ,"79,87", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,57", ," 3,09", ," 0,00", 
"2022-02-17 09:16:23,8","-0,87", ,"80,01", ," 2,90", ," 0,58", ,"79,94", ," 2,98", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,04", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,74", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,92", ,"79,80", ," 3,23", ,"-2,02", ,"79,80", ," 3,02", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-9,83", ,"75,52", ," 3,09", ," 0,00", 
"2022-02-17 09:21:24,2","-0,58", ,"79,94", ," 2,90", ," 0,29", ,"79,90", ," 2,98", ,"-4,63", ,"79,84", ," 3,12", ,"-1,16", ,"80,07", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-60,16",a,"54,06",a," 1,55",a," 0,00", ,"-0,58", ,"79,77", ," 3,04", ,"-0,29", ,"79,74", ," 3,07", ,"-4,63", ,"79,80", ," 3,23", ,"-1,74", ,"79,87", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-35,58",a,"58,51",a," 1,55",a," 0,00", 
"2022-02-17 09:26:24,5","-0,87", ,"80,01", ," 2,90", ," 0,29", ,"79,90", ," 2,98", ,"-4,63", ,"79,84", ," 3,12", ,"-0,87", ,"80,07", ," 3,00", ,"15,02", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,06", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00", ,"79,84", ," 3,09", ," 0,00", ,"-0,58", ,"79,77", ," 3,04", ," 0,00", ,"79,77", ," 3,07", ,"-4,92", ,"79,80", ," 3,23", ,"-1,74", ,"79,84", ," 3,02", ,"15,00", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,04", ," 0,09", ," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#," 0,00",#,"-47,43",a,"62,83",a," 2,92", ," 0,00", 
